,K,Degree,Delta,F1,SS,Weights
1592,5,53,0.0625,[0.427 0.404 0.431 0.378 0.411],-0.015011290051597447,[0.21993931 0.17972806 0.28183259 0.1475266  0.17097344]
1593,5,53,0.125,[0.491 0.397 0.471 0.484 0.446],0.0008890404196580609,[0.21950613 0.18858492 0.30361133 0.25752669 0.03077093]
1594,5,53,0.25,[0.491 0.456 0.427 0.475 0.483],-0.0036136791328906246,[0.21042186 0.15251561 0.31227243 0.24414814 0.08064197]
1595,5,53,0.5,[0.127 0.414 0.311 0.571 0.411],-0.18609617737120462,[0.00214117 0.08913363 0.07780469 0.81339213 0.01752838]
1596,5,53,1.0,[0.102 0.487 0.393 0.098 0.063],-0.28866984315273425,"[8.00000000e-04 9.69062076e-01 2.66712577e-02 1.33333333e-03
 2.13333307e-03]"
1597,5,53,2.0,[0.102 0.547 0.159 0.098 0.065],-0.05147551580656801,"[8.00000000e-04 9.94133330e-01 2.13333664e-03 1.33333333e-03
 1.60000000e-03]"
1598,5,53,4.0,[0.069 0.575 0.034 0.098 0.066],0.2789687828008483,"[5.33333333e-04 9.96266667e-01 5.33333333e-04 1.33333333e-03
 1.33333333e-03]"
1599,5,53,8.0,[0.069 0.587 0.034 0.067 0.065],0.27482168176097926,"[5.33333333e-04 9.96266667e-01 5.33333333e-04 1.06666667e-03
 1.60000000e-03]"
1600,6,4,0.0625,[0.639 0.365 0.343 0.46  0.404 0.504],0.23312511643980682,[0.28946291 0.06237079 0.1416655  0.06482877 0.25418971 0.18748231]
1601,6,4,0.125,[0.456 0.508 0.44  0.514 0.396 0.444],0.0637191204296059,[0.17098891 0.40328001 0.07064414 0.15284777 0.11891765 0.08332153]
1602,6,4,0.25,[0.414 0.55  0.464 0.36  0.463 0.5  ],-0.050478391921405304,[0.1126762  0.3578129  0.07495762 0.11922993 0.13182472 0.20349863]
1603,6,4,0.5,[0.427 0.5   0.487 0.404 0.5   0.467],0.030882357444682262,[0.19722982 0.36803367 0.10297917 0.0823421  0.09507432 0.15434091]
1604,6,4,1.0,[0.492 0.458 0.55  0.456 0.456 0.404],-0.02522432054304973,[0.3643722  0.21945819 0.08767635 0.08853186 0.10307185 0.13688956]
1605,6,4,2.0,[0.33  0.364 0.479 0.478 0.479 0.513],-0.05788907466865711,[0.20389126 0.19599917 0.119539   0.11225681 0.18961308 0.17870067]
1606,6,4,4.0,[0.43  0.393 0.4   0.514 0.415 0.581],-0.13340444438371069,[0.0394185  0.0619111  0.08253    0.04858587 0.04596922 0.72158532]
1607,6,4,8.0,[0.299 0.225 0.556 0.413 0.364 0.422],-0.2039448229298249,[0.0093488  0.00453316 0.91781896 0.02467524 0.0334656  0.01015824]
1608,6,5,0.0625,[0.531 0.475 0.47  0.448 0.468 0.492],-0.006298813631055498,[0.23678176 0.05924817 0.26532531 0.26843007 0.06507197 0.10514272]
1609,6,5,0.125,[0.314 0.448 0.411 0.438 0.538 0.471],0.1316220485682185,[0.1409263  0.11330884 0.08356739 0.05773066 0.3125112  0.2919556 ]
1610,6,5,0.25,[0.385 0.367 0.425 0.532 0.538 0.378],-0.06085864132680876,[0.14444776 0.05737246 0.10288382 0.06950375 0.45851892 0.16727329]
1611,6,5,0.5,[0.467 0.455 0.462 0.482 0.418 0.444],0.05355209782203994,[0.4138648  0.10473228 0.1716388  0.10703639 0.09492402 0.10780372]
1612,6,5,1.0,[0.452 0.47  0.509 0.404 0.544 0.404],-0.00684152622592079,[0.38253298 0.14129766 0.12062485 0.11603872 0.14102976 0.09847602]
1613,6,5,2.0,[0.393 0.496 0.581 0.483 0.376 0.427],-0.05020019675092989,[0.25337081 0.10420646 0.15369981 0.17925828 0.14146924 0.16799539]
1614,6,5,4.0,[0.486 0.45  0.441 0.421 0.427 0.417],-0.11114762081381115,[0.04798624 0.05078109 0.20021317 0.09702242 0.04839928 0.55559781]
1615,6,5,8.0,[0.46  0.187 0.537 0.272 0.278 0.177],-0.2168471142256918,[0.02801909 0.00213333 0.94958242 0.0071991  0.00666705 0.006399  ]
1616,6,6,0.0625,[0.583 0.382 0.47  0.583 0.548 0.537],0.29511746677617773,[0.17872616 0.29510289 0.08810006 0.16705209 0.16620429 0.10481451]
1617,6,6,0.125,[0.467 0.457 0.376 0.422 0.593 0.33 ],0.22448743144422043,[0.11901646 0.13569769 0.11888612 0.16194118 0.33769935 0.1267592 ]
1618,6,6,0.25,[0.429 0.429 0.425 0.376 0.571 0.349],-0.0040441268832532625,[0.05468357 0.07838266 0.0807591  0.08412997 0.61043018 0.09161453]
1619,6,6,0.5,[0.454 0.513 0.521 0.411 0.404 0.418],0.02369989319663679,[0.40731034 0.12930285 0.09561753 0.09102519 0.12248261 0.15426149]
1620,6,6,1.0,[0.456 0.448 0.526 0.431 0.539 0.393],0.025303741566692406,[0.46417845 0.08774266 0.05640766 0.12245292 0.12191765 0.14730066]
1621,6,6,2.0,[0.446 0.477 0.474 0.421 0.444 0.474],-0.059257835731538686,[0.21054543 0.07299385 0.30641076 0.09157961 0.17586464 0.14260571]
1622,6,6,4.0,[0.407 0.509 0.479 0.176 0.467 0.464],-0.1276846161354227,[0.0251979  0.06343638 0.05492588 0.00345253 0.03618177 0.81680555]
1623,6,6,8.0,[0.456 0.182 0.067 0.114 0.143 0.579],-0.20241152985722594,[0.02852265 0.00293331 0.00106667 0.00373333 0.00373333 0.96001071]
1624,6,7,0.0625,[0.468 0.479 0.407 0.545 0.5   0.4  ],0.4158620635661672,[0.13850027 0.46608558 0.10909025 0.11014508 0.12941713 0.0467617 ]
1625,6,7,0.125,[0.574 0.393 0.358 0.438 0.371 0.365],0.2943413856150573,[0.34563222 0.15153886 0.11475957 0.1278771  0.09949459 0.16069766]
